,Jahr,"Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Total","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Pocken","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Schar-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Masern","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Typhus,","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Diph-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Keuch-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Keuch-",Infektions- und parasitäre Krankheiten | Tuberkulose | Total,Infektions- und parasitäre Krankheiten | Tuberkulose | Atmungsorgane,Infektions- und parasitäre Krankheiten | Tuberkulose | Atmungsorgane,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Total,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Epidem.,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Rotlauf,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Syphilis,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Aids,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Aids,Infektions- und parasitäre Krankheiten | Total | Aids,Infektions- und parasitäre Krankheiten | Total | Aids,Atmungsorgane | Total | Aids,Atmungsorgane | Grippe | Aids,Atmungsorgane | Lungen- | entzün-,Atmungsorgane | Bron- | chitis,Atmungsorgane | Bron- | chitis,Jahr | Bron- | chitis,Neubildungen | Total | chitis,Neubildungen | Krebs (bösartige Geschwülste) | Total,"Neubildungen | Krebs (bösartige Geschwülste) | Magen,",Neubildungen | Krebs (bösartige Geschwülste) | Weibl.,Neubildungen | Krebs (bösartige Geschwülste) | Bron-,Neubildungen | Krebs (bösartige Geschwülste) | Bron-,Nervensystem und Kreislauforgane | Total | Bron-,Nervensystem und Kreislauforgane | Nervensystem | Total,Nervensystem und Kreislauforgane | Nervensystem | Hirn-,Nervensystem und Kreislauforgane | Kreislauforgane | Total,Nervensystem und Kreislauforgane | Kreislauforgane | Herz-,Nervensystem und Kreislauforgane | Kreislauforgane | Arterien-,Nervensystem und Kreislauforgane | Kreislauforgane | Arterien-,"Blut, Stoffwechsel 8) | Total | Arterien-","Blut, Stoffwechsel 8) | Anämie, | Leukä-","Blut, Stoffwechsel 8) | Zucker- | krankheit","Blut, Stoffwechsel 8) | Zucker- | krankheit","Ernährungsapparat, Verdauungsorgane | Total | krankheit","Ernährungsapparat, Verdauungsorgane | Magen-Darm-Katarrh | Säuglinge","Ernährungsapparat, Verdauungsorgane | Magen-Darm-Katarrh | Erwach-","Ernährungsapparat, Verdauungsorgane | Magen- | Darm-","Ernährungsapparat, Verdauungsorgane | Blind- | darm-","Ernährungsapparat, Verdauungsorgane | Leber- | zirrhose","Ernährungsapparat, Verdauungsorgane | Leber- | zirrhose",Harnapparat | Total | zirrhose,Harnapparat | Nieren- | entzün-,Harnapparat | Nieren- | entzün-,Jahr | Nieren- | entzün-,Gewaltsamer Tod | Total | entzün-,Gewaltsamer Tod | Selbst- | tötung,Gewaltsamer Tod | Unfälle | Total,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Sturz,Gewaltsamer Tod | Unfälle | Er-,"Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache","Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache","Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache",Übrige bekannte Todesursachen | Total | unklare Ursache,Übrige bekannte Todesursachen | Chroni- | scher,Übrige bekannte Todesursachen | Schwanger- | schaft u.,Übrige bekannte Todesursachen | Angeborene Säug- | lingskrankheiten,Übrige bekannte Todesursachen | Angeborene Säug- | lingskrankheiten,Übrige bekannte Todesursachen | Alters- | schwäche,Übrige bekannte Todesursachen | Alters- | schwäche,Unbekannte Todesursachen | Arzt | beige-,Unbekannte Todesursachen | Arzt | nicht bei-,Unbekannte Todesursachen | Total | nicht bei-,Unbekannte Todesursachen | Total | nicht bei-,Gesamt- | total | nicht bei-
192,1961/64,0.5525817447989625,-,0.027629087239948127,0.13354058832641594,0.15195997981971468,0.06446787022654563,0.17498421918633814,,10.075407146834417,8.367008585830957,8.24267769325119,1.708398561003459,0.15195997981971468,0.31773450325940344,,10.010939276607871,0.2164278500462603,0.12893574045309125,1.017671380004756,...,,20.63892816824125,,57.859913528324704,11.392393638605276,22.246020076031567,7.745354122932124,,1961/64,186.8601218516425,164.99169930122355,63.14167403902812,16.559032952475576,21.978938899378733,,475.3262120281942,43.13821487730568,26.127906833244275,432.1879971508886,174.88291253312497,178.82466231269092,,32.735863531465206,7.312498422839604,19.160772000904025,,50.257309689465636,1.4689464715905753,...,6.598747002474277,2.35768211114224,13.744947791422813,,20.37184699158842,11.000981569372678,,1961/64,83.91414279559578,18.423996341172074,63.36731158482103,28.204693224113715,25.441784500118896,2.3208433281556426,0.5433720490523131,20.625113624621275,3.315490468793775,2.122834869602681,0.7828241384651968,,59.66401466674828,3.098596750243016,0.8633331635159851,32.404314484585825,18.732521148684828,8.215048606011242,,4.393024871151752,1.3538252747574582,5.74685014590921,,997.9948650420395
193,1965/68,0.2735312993317972,-,0.02136963276029666,0.07693067793706797,0.0940263841453053,0.017095706208237325,0.06410889828088998,,7.658876381290323,6.351054856360168,6.261302398766921,1.3078215249301555,0.11539601690560197,0.2094224010509073,,8.594866296191316,0.07265675138500864,0.0683828248329493,0.7265675138500864,...,,16.527273976813436,,58.15531859387133,10.312984770119169,20.53194315609303,9.398364487978471,,1965/68,186.66374216119132,164.70430753671047,58.10403147524662,17.369237507569125,24.737486883319413,,457.99824324523007,43.75218611343138,28.34468089325749,414.24605713179864,162.4006611251505,172.43156674283375,,32.98616512879393,7.077622370210254,19.92504558570061,,47.432036874754466,1.055659858358655,...,6.304041664287515,1.6112703101263681,14.426336605270071,,17.882108693816246,7.701615646810916,,1965/68,78.38808689132021,18.22402281798099,58.14249681421515,26.30601792792519,23.527965669086623,1.9873758467075893,0.8761549431721631,19.59167931463998,2.68829980124532,2.021567259124064,0.6838282483294931,,50.45230433014986,2.40040205538214,0.5941194456012273,25.976925583416623,15.621201547776858,5.030411551773834,,6.291219884631337,0.38892731623739923,6.680147200868736,,956.7911154298665
194,1969/72,0.17943204732922974,-,0.011962136488615315,0.07974757659076877,0.051835924783999704,0.007974757659076877,0.027911651806769067,,5.901320667716889,4.908463339161818,4.601435169287358,0.9928573285550711,...,...,,9.72920434407379,0.11164660722707627,-,0.6060815820898426,...,,15.809957059119908,,63.008560264366395,11.66707045522947,21.468047618234955,10.741998566776553,,1969/72,188.18035648123706,166.3693942836618,53.87746274472338,17.71991151846882,28.21070521898445,,415.83975075373417,45.22485068462497,31.213201477626896,370.61490006910924,143.9962116711216,140.05668138753765,,39.77809120347546,8.788182940302718,25.4873254784097,,43.64983604695728,0.546270899646766,...,5.79764881814889,1.4035573479975303,15.282045543344779,,19.71360093323804,7.02177411881719,,1969/72,80.77233294996014,18.353904752365434,60.28119314496211,29.84553053909521,26.978605160657075,2.0814117490190647,0.8413369330326106,18.672895058728507,2.240906902200602,2.137235052632603,0.7775388717599955,,42.17797085616572,...,0.39570288822746713,16.958322162026978,...,3.8159215398682855,,5.590305119012891,0.011962136488615315,5.602267255501506,,914.8562238916402
195,1973/76,0.09101166429231743,-,0.011871086646824012,0.05539840435184539,0.011871086646824012,-,0.011871086646824012,,4.621809734496816,3.7789625825723108,3.5336267918712814,0.842847151924505,...,...,,10.866001310726245,-,-,0.3798747726983684,...,,15.57882270951538,,60.80766283391487,10.126036909740883,20.26394490612859,11.795903098060794,,1973/76,199.10582226941463,178.6756821502305,53.41593288182579,19.250945512266274,33.614960354923326,,415.41284909007726,44.235625874948546,33.286526957694534,371.1772232151287,143.2879728560481,131.85611641515658,,36.89929432721131,8.54718238571329,22.970552661604465,,39.92642142215143,0.22950767517193094,...,5.95532846782338,1.167323520271028,13.474008633418997,,17.129978031367052,6.418300847049517,,1973/76,74.53063899764342,21.0751358269949,51.88456270438549,23.12883381689545,20.790229747471123,1.6421669861439885,0.7993198342194835,18.31312966716718,1.9785144411373357,1.5709404662630444,0.8705463541004276,,31.397464011712295,...,0.1531583610327429,11.412071296480152,...,3.114181730350166,,4.879016611844669,0.011871086646824012,4.890887698491493,,895.9188232935728
196,1977/80,0.03141709969902418,-,0.007854274924756046,0.019635687311890113,0.003927137462378023,-,-,,2.5094408384595566,2.06567430521084,1.9125159441780972,0.44376653324871657,...,...,,11.298374479261572,0.007854274924756046,-,0.2827538972912177,...,,13.839232417420153,,56.668593582114866,4.331632621002959,20.550710340624196,13.258016072988205,,1977/80,204.72560305122875,182.41946226492155,50.68756322691315,19.95771258380511,36.51845126265324,,438.9204456201421,47.24739080986999,37.193918906182255,391.6730548102721,151.65034024718972,121.35640186240566,,32.764107848619844,8.604358180070248,19.144795129092863,,36.15322747865208,0.01178141238713407,...,5.513700997178744,0.7461561178518243,12.624958958497912,,14.899559532262218,5.073861601392406,,1977/80,73.55528467034037,24.35217940420612,47.506581882386946,21.599256043079126,19.96556685872987,1.374498111832308,0.3534423716140221,16.8866910882255,1.519802197940295,1.696523383747306,0.8561159667984091,,24.98178387988743,...,0.10196646481586706,7.492978278217268,...,3.408755317344124,,5.446939660318318,0.003927137462378023,5.450866797780696,,902.9549353121917
197,1981/84,0.01888267866960501,-,-,0.0075530714678420045,0.0075530714678420045,-,0.0037765357339210022,,2.3376756192971007,1.9562455101710792,1.88449133122658,0.38143010912602127,...,...,,7.3378089310085075,0.0037765357339210022,-,0.1586145008246821,...,,9.694367228975214,,51.70455073311244,5.415552242442717,14.365941931835494,13.720154321335002,,1981/84,218.8880111380613,190.42048477576478,49.344215899411815,22.00587372155768,37.97306680457568,,430.585498238737,54.688013962910034,41.88555782491783,375.89748427582697,141.70695034391778,98.04264418832315,,34.72524607340362,9.010814261135511,20.219572319413047,,32.53485534772943,0.03776535733921002,...,5.188960098407457,0.5589272886203084,11.71860167621831,,12.515439422214204,3.376222946125376,,1981/84,75.30412253438479,23.818610873839763,48.6228975742329,18.92044402694422,17.436265483513267,1.2726925423313777,0.3247820731172062,20.49148289225536,1.2160445063225627,2.86261408631212,1.1820556847172738,,25.932225310812086,...,0.06910410671885409,5.853630387577553,...,3.100535837549143,,7.156535215780299,0.0075530714678420045,7.164088287248141,,900.0428787867229
198,1985/88,0.025938394608282258,-,0.0037054849440403223,0.0074109698880806445,0.0074109698880806445,0.0074109698880806445,-,,1.6711737097621853,1.3858513690710803,1.3747349142389595,0.2853223406911048,...,...,,6.076995308226128,-,-,0.1852742472020161,1.2598648809737096,,7.774107412596595,,54.58549871065799,4.720787818707371,20.828530870450653,14.840467200881491,,1985/88,238.70734009507757,102.0342334190943,47.952680660825806,23.970782102996843,39.90436736237023,,404.25358545502297,28.43959694550947,21.86606665478194,175.32502012726786,64.94974009913877,38.800132849046214,,...,...,19.535316624980577,,...,...,...,...,0.333493644963629,10.598704629043368,,11.672277573727015,3.249710295923362,,1985/88,74.67293259230057,22.818376285400305,48.69377764963387,15.618619039129959,14.225356700170796,1.0560632090514919,0.42242528362059667,23.062938291706963,1.1783442122048224,3.160778657266395,1.1709332423167418,,...,...,0.07166128890495853,...,...,1.5896530409932983,,3.975985344955266,-,3.975985344955266,,888.7494473732393
199,1989/92,0.007166128890495854,-,0.003583064445247927,0.003583064445247927,-,-,-,,1.0462548180123945,0.7990233712902877,0.7990233712902877,0.24723144672210692,...,...,,11.662874769282002,-,-,0.16840402892665257,5.740069241287179,,12.716295716184892,,62.85769956298438,6.9081482504380025,22.906530998469997,17.893823839568146,,1989/92,240.75684926954395,...,45.024787818985445,23.8488769475702,39.11631454877162,,391.8869245056562,...,...,...,...,...,,...,...,19.502619775484465,,...,...,...,...,0.21498386671487563,8.995147387664788,,10.1974014111756,2.486646725002061,,1989/92,74.74272432787176,21.34073183589665,48.898080484298454,14.350173103217948,12.802289262870842,1.1286653002530969,0.5052120867799577,22.74171003398859,1.1824112669318159,4.503912007676644,1.3472322314132206,,...,...,0.03131772784873621,...,...,...,,...,...,...,,894.1788137627368
200,1993/96,0.0034797475387484678,-,-,-,-,0.0034797475387484678,-,,0.6019963242034849,0.3653734915685891,0.3653734915685891,0.2366228326348958,...,...,,14.05818005654381,-,-,0.13223040647244177,7.839871204800297,,14.663656128286043,,58.43192067066427,3.698971633689621,22.96633375573989,20.666220632627148,,1993/96,222.4428614144958,...,39.81875108589872,21.598792973011737,37.188061946604876,,367.92762626203046,...,...,...,...,...,,...,...,22.454810867543863,,...,...,...,...,0.22270384247990194,8.334578573275717,,9.708495633108225,1.77119149722297,,1993/96,64.46928265039286,20.043345823191174,41.25588681940183,10.247856501614237,9.430115830008347,0.588077334048491,0.3236165211036075,...,...,3.170050007799854,0.7098684979046874,,...,...,-,...,...,...,,...,...,...,,871.7567926498823
201,1997/00,0.010290875012520564,-,-,0.003430291670840188,-,-,0.006860583341680376,,0.456228792221745,0.28128391700889543,0.28128391700889543,0.1749448752128496,...,...,,9.621968136706728,-,-,0.006860583341680376,2.2502713360711635,,10.088487803940993,,63.06591236839686,4.315306921916957,23.17848081986715,24.42710698805298,,1997/00,210.3111823392119,...,36.0626563355429,18.437817730766014,36.71098146133169,,349.2105526748728,...,...,...,...,...,,...,...,22.42038636061147,,...,...,...,...,0.2058175002504113,7.403838323515839,,...,...,,1997/00,59.55672398912735,18.47555093914525,39.05730096418638,8.867303969121886,8.092058051512003,0.5522769590052703,0.291574792021416,...,...,2.023872085795711,-,,...,...,0.0033931431363500636,...,...,...,,...,...,...,,859.0788157535459
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1877/80,169.40565313074046,4.2091196557761865,43.2507588056655,10.655190104752297,35.77295186839717,53.1116031185468,22.406029577602517,,252.48326646676546,209.9903318073677,...,42.49293465939776,...,...,,27.829493949687233,...,5.332160258076557,1.679995697750148,...,,449.7184135471931,,328.3752460303482,2.857818768455415,173.03955686826524,...,,1877/80,...,...,...,...,...,,330.0095896710943,...,79.46197042130184,...,...,...,,34.78773482619212,12.271272922696733,1.241735950510979,,241.04286098154296,147.83049099061222,18.762995428676923,8.76519494478338,2.182168324795029,15.675934047295772,,27.75645065848071,...,,1877/80,92.3723721420557,24.086025275352664,60.744627049628996,5.423464372084717,...,...,...,18.114736219218987,13.869094917839536,7.541719817074035,3.825642376941913,,...,8.099380282209347,25.290625082522407,...,...,...,,42.65728206461245,400.52375691959645,443.1810389842089,,2342.2974799425406
204,1881/90,121.15846543308797,3.352492992612486,9.097176276386437,12.421239514322249,23.053385722200687,49.92648180038658,23.307689127179515,,279.46030234524545,221.16609763447713,...,58.29420471076833,27.223494627591077,19.23930070206162,,28.064953000040333,...,5.341991191347523,2.331485194596656,...,,428.68372077837375,,336.73316318485945,4.055213630698757,178.68072089581105,...,,1881/90,114.79408675424813,110.67935802678015,59.36120007693021,5.066478418538077,...,,336.8994261805946,...,85.11079459725588,...,...,...,,29.689140128409328,9.13700166029854,2.2818983890896622,,208.64900174071647,121.4846302154281,18.946304928358238,8.935850976056688,2.765409920462667,14.130818913690781,,37.29096121510267,...,,1881/90,84.13465801326403,23.069960729084396,56.34664655081668,5.48288390412436,...,...,...,17.18999049005943,11.767568249904185,4.718050733362953,2.89821107521998,,301.80626383816025,9.259641002115949,22.650700263051903,...,...,...,,12.325219182471336,219.70732626578285,232.0325454482542,,2119.31799283901
205,1891/00,86.360594536693,0.5686434237255529,4.126186467222745,14.907209704261621,9.906680610864234,38.345112557579384,18.506761773039464,,270.9549150642745,201.4118920389379,...,69.54302302533655,28.560052963459803,20.775548113863245,,26.122816603019203,...,4.280887952313659,3.9420849937703473,...,,383.43832620398666,,322.8577286149236,8.046190223557979,166.17229111432044,...,,1891/00,131.57618093570238,127.26124222758708,70.417702242351,5.9138225045988335,0.502328205702785,,321.34966398807336,...,75.71886167279962,...,...,...,,34.540246942569084,8.874518397501381,4.410191965025189,,200.61100398317137,123.41967767596071,15.501789690506076,7.562083563753774,6.85481839512029,10.998648363574299,,43.767465986920215,...,,1891/00,84.9952649745249,22.449384401465082,58.054558319080925,7.293111646508725,...,...,...,17.37971782522849,11.40098031888325,4.491322253978911,2.928601909327723,,265.4207722782634,10.318579232065947,16.633601369787666,121.39392960083157,...,...,,13.606591376045277,121.34357350478851,134.9501648808338,,1937.860232900527
206,1901/10,63.87892772667674,0.33239506379693873,4.720025232599136,16.00691700629285,5.284293130480442,18.317992399250514,19.217304894256863,,260.18515406725595,185.125196425652,183.1555125318198,75.05995764160397,28.89285874532402,16.976509029893293,,26.01565417541816,0.4128189356388946,3.207684475114265,5.002562402802465,...,,350.07973596935085,,255.46741239840026,13.607972625225678,124.38063470342047,...,,1901/10,131.3086401993496,124.55703011545305,76.5687843578443,6.942377251569075,0.6871591118417351,,340.20818696095705,101.4793909396069,51.605540901253875,238.72879602135018,161.55563730593326,63.615648910618305,,33.981187464350256,7.688660089941141,6.70735528079633,,176.39170893255346,98.46833105284348,12.746496648804163,6.870948064756275,11.581180921297591,12.176841718126049,,40.408649857373355,35.22210172567061,,1901/10,88.33881028702851,23.378724449887716,60.62938783747481,7.745218603024515,...,...,...,18.93322272091917,9.434393495183254,4.330697999665977,2.5935013035190284,,219.9067745256191,6.025372020901095,15.235337092306876,114.08243303944869,94.76326242803677,70.3414609741744,,21.36209109160218,59.68497490498669,81.04706599658888,,1731.2282366707157
207,1911/20,35.027952174023206,-,1.9721992971386137,6.634693012831554,2.739179168678964,12.332197096823808,11.307054366033647,,202.93338337272326,146.96297646562604,145.0059567166008,55.97040690709723,18.96744135838444,13.755568431671664,,23.697588085855845,0.6985054110510059,2.3402436706786602,4.712769615547626,...,,261.6589236326023,,271.60947240345104,88.3751730099851,107.80353140651528,...,,1911/20,131.99468084277123,124.62349587581943,75.58806374261769,8.217167785917379,1.1343550239235136,,337.5961782333935,85.45912024319495,42.58277077123266,252.13705799019857,153.96656460176405,88.41582319041188,,31.126698097035717,8.43602906614489,7.6751357411982415,,106.3493523196714,42.63163612844298,8.667905817596088,7.61547323348133,10.755893355838845,9.969347927948911,,36.57880970821053,32.73142690751854,,1911/20,81.15913141731235,22.339412847759753,53.003856483491006,7.287425543516491,...,...,...,16.317793624066567,7.718071137652621,5.815862086061596,1.8147823238029792,,170.15150748936975,4.58586039009594,11.800411195178672,73.26281715081865,57.64377573142417,57.47084887147112,,23.105475936316594,36.14190859646638,59.24738453278298,,1490.3290006505983
208,1921/30,15.880385823402099,0.041173367273244166,0.7764227277999366,2.512164692424697,1.5289450928903139,5.868001805765471,5.153678137248438,,146.72722579617593,112.12882849879153,109.93772307793887,34.59839729738438,10.740359966102595,7.286585676521849,,23.521391198268475,0.6778466062617973,2.08339228815287,5.115589494514415,...,,186.12900281784653,,159.11553579197673,30.040389482988534,84.80294928872505,28.437563706696295,,1921/30,144.62765045675917,136.89753613303427,79.92891219765764,10.150940815476464,2.724382014100102,,340.7908400941529,80.88252347472364,44.61296449054646,259.90831661942923,154.29424069323966,95.69848605036277,,29.228167657791722,7.455251305709882,9.501786713548185,,73.97617817162717,17.185868022461225,2.1016130736826346,7.957794287656601,10.92398420030263,8.003027737028432,,37.30240025653153,31.467300916583415,,1921/30,82.08825818712313,24.331735207130986,51.92439478237946,12.253203523326146,10.255984584779792,2.104009144494615,0.04075094940152313,14.233653494553124,6.116529370698743,5.832128197612692,1.4733775551473325,,131.054124274475,10.01070236173466,8.329847678713554,48.07529355926103,34.726521395980654,49.03005845585068,,17.637245153248426,27.074515358963964,44.71176051221238,,1232.1317697911634
209,1931/40,7.178468167914991,-,0.7435672252779277,1.2925292753137674,0.7498973388840336,1.81259222492683,2.579882103512433,,97.41475880220185,74.92626176162409,73.723663240669,22.488497040577755,5.699464553345633,4.934859572437095,,19.642968580208546,1.4505655272233398,1.6967053596355626,5.736965075856281,...,,124.23619555032538,,137.950944096568,32.53988024290628,68.98557894263979,17.931612575454555,,1931/40,163.55162785185013,151.75383407417013,85.2439981438348,12.349719789611836,5.374644261839432,,385.64384849487624,64.40971597732111,35.7340766000411,321.23413251755505,178.3398591812085,122.64148978955252,,29.98224246446671,6.456976544589932,13.822440714456544,,71.78184997463205,7.199682393333616,...,7.691732244177175,12.440071879833823,12.20827764519332,,36.390578091138636,28.662320694797202,,1931/40,85.67532047132207,26.07963604708236,54.89228166730935,16.153001050302688,14.452576599381,1.695741388670388,0.16738915067435903,17.24505604984502,4.277069448630583,4.703402756930348,1.4968649140157007,,112.91107492701563,2.1542646001458943,6.644471767580401,38.61364048949312,25.82430473359895,36.8132930762266,,21.484727570395883,11.64632885273862,33.13105642313451,,1183.9900006839566
210,1941/50,5.856047773224992,-,0.24884148354582827,0.3667578121083861,0.5357791678073713,2.970630071039805,1.7340392387236006,,68.52515829929999,53.22258341917214,52.52376153838421,15.302574880127846,3.6856313295812675,3.1797480300962304,,17.66461725610428,1.962608478827272,0.49885709787805965,4.2629025185657135,...,,92.04582332862925,,86.7075484447059,11.644931076632357,49.0182547034163,10.419139327347837,,1941/50,181.97758687033217,165.60891359121763,84.73240206040461,14.98452073897896,10.294604859752088,,450.2846710381988,55.66344794882875,30.098132623150406,394.6212230893701,209.6752202564214,143.48489833139286,,26.263849551177895,7.384003740771415,10.586482919399224,,60.048459686241436,5.805883643555809,...,8.63386450749465,7.454002849276703,9.011263749390737,,29.3865271850703,23.89572187106173,,1941/50,81.79621126163285,25.015086783217125,52.992695365485844,13.098406062735599,10.593817158984194,2.5047075114586357,0.13033875327262023,17.93137475732884,4.334045228460037,3.788429112929876,1.1846674975150724,,98.70837767226728,1.7948263771945216,3.627104132976466,46.19720845289233,29.990169195287663,24.704991304738776,,10.802558912229305,4.231267355587973,15.033826267817279,,1127.330179928595
211,1951/60,1.1852640115005109,-,0.04546530947080098,0.2839935120521795,0.19566242760490588,0.21716996301364302,0.4429727993589812,,20.75669690667526,16.56510626618887,16.278811811324367,4.191590640486387,0.6861291730114115,0.8400631543228064,,11.943826206507493,1.177645456457177,0.15112364577876491,2.014428569430195,...,,33.88578712468326,,64.78133997372755,18.184549576287278,25.449794802899042,8.085391563818229,,1951/60,188.04958526839317,168.75751169464604,73.57672072473687,16.259483243267532,18.21162469440138,,482.1019381794431,43.61633558553599,26.4577731766946,438.48560259390706,184.69854671900544,176.95227424237146,,27.374535741323292,7.190751586571272,14.056668055538367,,50.34271696374449,1.9857811190997796,...,7.190452994889268,3.768430551392321,12.052316035957324,,23.697579903876687,17.975154846061198,,1951/60,80.7830705532083,21.628974295304793,57.56358319107689,23.28916145107282,21.075869269027134,2.079763627210963,0.2602465390284173,17.93205696921936,3.9517673965436373,1.5905130668266243,0.8846326887475973,,66.67334826416536,1.540955249685868,1.5345941807503598,35.275597959996,20.143592303456835,13.780134350916933,,1.1558175110722833,0.539611880009545,1.695429391081828,,1024.272799130053
212,1961/68,0.41305652206537985,-,0.024499360000122393,0.10523563313174195,0.12299318198251,0.04078178821739148,0.11954655873361406,,8.86714176406237,7.359031721095563,7.251990046009055,1.5081100429668073,0.1336779983626583,0.26357845215515535,,9.302902786399594,0.14454230071563448,0.09865928264302028,0.8721194469274213,...,,18.58310107252734,,58.00761606109802,10.852689204362221,21.388981616062296,8.571859305455298,,1961/68,186.7619320064169,164.848003418967,60.622852757137366,16.96413523002235,23.358212891349073,,466.66222763671215,43.445200495368525,27.236293863250882,423.2170271413436,168.64178682913774,175.62811452776234,,32.861014330129564,7.195060396524929,19.542908793302317,,48.84467328211005,1.262303164974615,...,6.451394333380896,1.9844762106343041,14.085642198346441,,19.12697784270233,9.351298608091797,,1961/68,81.151114843458,18.324009579576533,60.754904199518094,27.255355576019454,24.48487508460276,2.154109587431616,0.7097634961122381,20.108396469630627,3.0018951350195477,2.0722010643633726,0.733326193397345,,55.05815949844907,2.749499402812578,0.7287263045586062,29.190620034001224,17.176861348230844,6.622730078892538,,5.3421223778915445,0.8713762954974287,6.2134986733889725,,977.392990235953
213,1969/76,0.1352218558107736,-,0.011916611567719664,0.06757299047130708,0.03185350571541186,0.0074109698880806445,0.01989136922679654,,5.261565201106853,4.343712960867064,4.06753098057932,0.9178522402397881,...,...,,10.297602827400016,-,-,0.49297817739410554,...,,15.694389884317644,,61.90811154914063,10.896553682485177,20.865996262181774,11.268950832418675,,1969/76,193.64308937532584,172.52253821694615,53.646697813274585,18.485428515367545,30.91283278695389,,415.6262999219057,44.73023827978676,32.249864217660715,370.896061642119,143.64209226358486,135.95639890134711,,38.33869276534338,8.667682663008005,24.228939070007083,,41.788128734554356,0.38788928740934847,...,5.876488642986135,1.285440434134279,14.378027088381888,,18.421789482302547,6.720037482933353,,1969/76,77.65148597380178,19.714520289680166,56.082877924673795,26.48718217799533,23.8844174540641,1.8617893675815265,0.8203283836260471,18.493012362947844,2.109710671668969,1.8540877594478238,0.8240426129302115,,36.78771743393901,...,0.27443062463010504,14.185196729253565,...,3.4650516351092255,,5.23466086542878,0.011916611567719664,5.2465774769964995,,905.3875235926065
214,1977/84,0.025149889184314596,-,-,0.01359437938986606,0.005740104465110014,-,-,,2.4235582288783286,2.0109599076909594,1.8985036377023388,0.41259832118736894,...,...,,9.31809170513504,0.005815405329338524,-,0.2206841990579499,...,,11.766799823197683,,54.186572157613654,4.873592431722838,17.458326136229843,13.489085197161604,,1977/84,211.80680709464502,186.41997352034315,50.01588956316248,20.981793152681398,37.24575903361446,,434.7529719294396,50.967702386390016,39.53973836555004,383.78526954304954,146.67864529555374,109.69952302536441,,33.744676961011734,8.807586220602879,19.682183724252955,,34.34404141319075,0.024773384863172043,...,5.351330547793101,0.6525417032360663,12.17178031735811,,13.707499477238212,4.225042273758891,,1977/84,74.42970360236258,24.085395139022943,48.064739728309924,20.259850035011674,18.70091617112157,1.323595327081843,0.3391122223656141,18.68908699024043,1.3679233521314287,2.279568735029713,1.0190858257578415,,25.45700459534976,...,0.08553528576736058,6.673304332897411,...,3.2546455774466336,,6.301737438049308,0.005740104465110014,6.307477542514419,,901.4989070494573
